"Bill of Material for "
"On 07.12.2020 at 19:26:41"

"Comment","Pattern","Quantity","Components"

"24C02","24Cxx","1","DD6",""
"24C21","24Cxx","1","DD3",""
"24LC08","24Cxx","1","DD8",""
"24LC16","24Cxx","1","DD17",""
"2N3906","2N3906","2","VT2, VT4",""
"74LCX125","74LCX125(page12)","1","DD15",""
"74LV4053","74LV4053(SOT38-4)","1","DD11",""
"74LVX14","74LVX14(SO-14)","1","DD1",""
"AD9883ABSTZ-140","ST_80_2_ADI","1","DD4",""
"AIC1732","AIC1732(SOT-89)","2","DD2, DD5",""
"AV9173-01","AV9173-01(DIP8)","1","DD12",""
"BAV99","BAV99","3","VD3, VD6, VD8",""
"Capacitor","cap_electro_13","157","C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C12, C13, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C36, C37, C38, C39, C44, C45, C46, C47, C48, C49, C50, C51, C53, C54, C55, C56, C58, C59, C60, C61, C62, C63, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C164, C165, C166, C167, C168, C169, C170, C171, C172",""
"Crystal","crystal","1","ZQ1",""
"DB-15","VGA","1","X2",""
"Diode","zener_diode","5","VD9, VD10, VD15, VD16, VD17",""
"DiodeSchottky","zener_diode","9","VD1, VD2, VD4, VD5, VD7, VD11, VD12, VD13, VD14",""
"F14-SINGLE","74AHC1G14(SOT25)","1","DD10",""
"FI-SE30P-HF","FI-SE30P-HF_v2","1","X1",""
"Inductor","inductor","24","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24",""
"InputArrow","ARROW","8","RX_CLK+, RX_CLK-, RX_D0+, RX_D0-, RX_D1+, RX_D1-, RX_D2+, RX_D2-",""
"MMBT3904L","MMBT3904L","2","VT1, VT3",""
"Resistor","R_1206","239","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R170, R171, R172, R173, R174, R175, R176, R177, R178, R179, R180, R181, R182, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R193, R194, R195, R196, R197, R198, R199, R200, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228, R229, R230, R231, R232, R233, R234, R235, R236, R237, R238, R239",""
"SD1210","SD1210","1","DD9",""
"SIL151","SIL151","1","DD7",""
"SM0230","SM0230","1","DD16",""
"SN75LVDS83","SN75LVDS83_v2","2","DD13, DD14",""
"TuningCapacitor","Cap_tantal_D","15","C6, C14, C35, C40, C41, C42, C43, C52, C57, C64, C134, C135, C136, C137, C163",""
